author,book,mark_num,price,star,time
吴念真,这些人，那些事,47134,28.00元,8.8,2011-9
文：安东尼,这些都是你给我的爱,48938,24.80元,8.4,2010-3
[英] 肯·福莱特,巨人的陨落,45618,129.80元,8.9,2016-5-1
亦舒,喜宝,50468,22.00元,8.0,2007-2
（丹麦）安徒生,安徒生童话故事集,43357,25.00,9.2,1997-08
安东尼,陪安东尼度过漫长岁月,47823,18.00,8.3,2008-3
天下霸唱,鬼吹灯之精绝古城,47843,25.00元,8.1,2006
唐七公子,华胥引（全二册）,46854,39.80元,8.4,2011-1
张爱玲,半生缘,44643,28.00元,8.6,2006-12
金庸,射雕英雄传（全四册）,39791,47.00元,8.9,1999-04
幾米,地下铁,42507,32.00元,8.3,2002-2
鲁迅,阿Q正传,39976,14.50元,8.7,2003-7
[美] 莫提默·J. 艾德勒,如何阅读一本书,41371,38.00元,8.4,2004-1
【英】蕾秋·乔伊斯,一个人的朝圣,42788,32.80,8.1,2013-9-1
王小波,一只特立独行的猪,38079,18.80元,8.8,2006-4
林海音 文,城南旧事,37174,16.00元,9.0,2003-7
三毛,梦里花落知多少,37768,28.00元,8.8,2007-6
幾米,月亮忘記了,38325,NT$ 299,8.6,2000-2-1
蒋勋,孤独六讲,40920,36.00元,8.1,2009-10-1
江南,此间的少年,39016,25.00元,8.4,2004-1
乔一,我不喜欢这世界，我只喜欢你,38254,29.80元,8.0,2015-5-1
龙应台,孩子你慢慢来,36651,28.00元,8.8,2009-12-1
桐华,步步惊心,39584,25.00元,8.1,2006-6
[英]毛姆,刀锋,35254,18.00元,9.0,2007-3
格林兄弟,格林童话全集,35367,21.45元,9.0,1994-11
高木直子,一個人住第5年,37016,NT$220,8.4,2004-12-1
[美] 欧·亨利,麦琪的礼物,35814,25.00元,8.6,2003-7
[澳] 考琳·麦卡洛,荆棘鸟,35404,28.00元,8.6,1998-7
梁文道,常识,37912,38.00,8.1,2009-1
[美] 彼得·海斯勒,寻路中国,33759,33.00元,9.0,2011-1
三毛,哭泣的骆驼,33604,15.80元,8.9,2003-6
八月长安,你好，旧时光（上 下）,34133,39.80元,8.8,2009-12
阿来,尘埃落定,35759,22.0,8.4,1998-3-1
[美] 奥德丽·尼芬格,时间旅行者的妻子,37110,29.90元,8.1,2007-4
桐华,那些回不去的年少时光,34299,23.80元,8.5,2010-01
张爱玲,金锁记,34584,13.5元,8.5,2005-6
（美）鲁思・本尼迪克特,菊与刀,36190,16.00,8.2,1990-6
鲍鲸鲸,失恋33天,35840,25.00元,8.1,2010-1
鲁迅,朝花夕拾,32673,0.25元,8.7,1972年4月
[法] 雨果,悲惨世界（上中下）,31655,66.00元,8.9,1992-6
尾田荣一郎,海贼王,29473,7.50元,9.5,2007-11
[美] 海莲·汉芙,查令十字街84号,34254,18.00元,8.3,2005-05-01
刘慈欣,球状闪电,32327,22.00元,8.7,2005-6
金庸,鹿鼎记（全五册）,31797,108.00元,8.8,2008-3
[美] 沃尔特·艾萨克森,史蒂夫·乔布斯传,32182,68.00元,8.7,2011-10-24
[美] 哈珀·李,杀死一只知更鸟,29998,32.00元,9.2,2012-9
林达,历史深处的忧虑,30375,19.00元,9.0,1997-5
笛安,东霓,34131,26.80元,8.1,2010-7-1
王安忆,长恨歌,33813,22.00元,8.2,2003-8
[印] 罗宾德拉纳德·泰戈尔,飞鸟集,30657,16.80元,8.9,2004-6
约翰·赫斯特（John Hirst）,你一定爱读的极简欧洲史,33189,25.00元,8.2,2011-11-25
七堇年,大地之灯,32741,22.00元,8.2,2007-1
（美）罗伯特・T・清崎,富爸爸，穷爸爸,31992,18.80,8.2,2000-09
金庸,倚天屠龙记(共四册),30497,0,8.5,1999-04
[日] 川端康成,伊豆的舞女,32093,23.80元,8.2,2002-2
[英] 威廉·萨默塞特·毛姆,月亮与六便士,29932,39.80元,8.8,2017-1-1
[英] 乔治·奥威尔,一九八四·动物农场,27491,23.00元,9.3,2003-4
[德] 帕·聚斯金德,香水,30023,20.00元,8.5,2005-5
[法国] 儒尔·凡尔纳,海底两万里,30317,19.50元,8.4,2002-9
安东尼,橙,30898,28.80元,8.2,2010-10
[意大利]伊塔洛·卡尔维诺,看不见的城市,28872,16.00元,8.8,2006-8
[明] 施耐庵,水浒传（全二册）,29410,50.60元,8.5,1997-1
钱穆,中国历代政治得失,27418,12.00元,9.1,2001
[英] 史蒂芬·霍金,时间简史,28417,45.00元,8.8,2010-4
[美] 罗伯特·西奥迪尼,影响力,28948,45.00元,8.6,2006-5
曹禺,雷雨,29403,9.20,8.6,1999-05
